Note- This information is updated periodically. Sacramento Food Bank & Family Services relies on partner agencies to help provide us with current,,,,,,,
information. Please call ahead if possible to verify details and eligibility.,,,,,,,
Agency Name,Site Address,"Phone
Number",Food Distribution Day(s),Food Distribution Time,"Zip
Code",Neighborhood,Notes
Oak Park Community Center City of Sacramento,"3425 Martin Luther King Jr Sacramento, CA 95817",(916) 808-6151,"4th Tues/4th
Thur","11:00AM -
12:00PM",95817,Oak Park,USDA commodities
"Oak Park United
Methodist","3600 Broadway
Sacramento, CA
95817",(916) 456-0487,2nd Tues,"4:00PM -
7:00PM",95817,Oak Park,Food distribution
Shiloh Baptist,"3565 9th Ave, Sacramento, CA
95817",(916) 452-5052,"2nd Wed, 4th
Fri","10:00AM -
1:00PM,
11:00AM -
1:00PM",95817,Oak Park,Food distribution
Temple of Prayer,"3909 8th Ave, Sacramento, CA
95817",(916) 452-1539,Wed & Fri,10:00AM,95817,Oak Park,Food distribution
"Wellspring
Women's Center","3414 4th Ave
Sacramento, CA
95817",(916) 454-9688,Mon - Fri,"7:30 AM-11:30
AM",95817,Oak Park,Congregate meal for women & children
"Loaves & Fishes
Dining Room","1351 North C Street
Sacramento, CA
95818",(916) 446-0874,Mon - Fri,"11:00AM -
1:00PM",95818,Midtown,Congregate meal & USDA commodities
Repairing the Breach Neighborhood Project,"2130 4th St, Sacramento, CA
95818",N/A,Every Fri,10AM - 2PM,95818,Downtown,Food distribution
Health Professions High School / City Church,"451 McClatchy Way, Sacramento, CA
95818",(916) 468-4545,4th Tuesday,"4:00PM -
7:00PM",95818,Land Park,Food distribution
Victory Restoration Center,"969 Burnett Way
Sacramento, CA
95818",(916) 736-0777,Every Wed,"6:00PM -
8:00PM",95818,Midtown,Food distribution
Sacramento Central SDA Church,"6045 Camellia Ave, Sacramento, CA
95819",N/A,2nd & 4th Wed,"11:00AM -
2:00PM",95819,Elmhurst,Food distribution
G-7 Thy Presence's School of Faith Ministry,"3041 65th St, Sacramento, CA
95820",(916) 642-8181,"Tues, Fri, Sun","Tues 7PM, Fri
12PM, and Sun
10AM",95820,Tahoe Park East,Food distribution
G.A.S.B.O.L.,"4809 Roosevelt Ave., Sacramento, CA
95820",N/A,2nd & 4th Thur,"8:00AM -
11:00AM",95820,South Sacramento,Food distribution
Century Chapel,"2801 29th Ave, Sacramento, CA
95820",(916) 452-1913,First Thur,"4:00PM -
7:00PM",95820,South Sacramento,Food distribution
"Promise Land
Ministries","5540 Martin Luther King Jr.Blvd., Sacramento, CA
95820",(916) 670-4520,"2nd & 4th
Thursdays","4:00PM - 6:00
PM",95820,Tahoe Park,Food distribution
Sacramento Area Emergency Housing,"4516 Parker Ave. Sacramento, CA
95820",(916) 454-2120,Daily,"6:00AM -
7:00PM",95820,Midtown,"USDA commodities &
congregate meal"
"St. Matthew
Chirstian Church","4809 Roosevelt Ave, Sacramento, CA
95820",(916) 451-8986,3rd Thursday,"4:00PM -
7:00PM",95820,South Sacramento,Food distribution
"Williams Memorial
COGIC","4495 Martin Luther King Blvd, Sacramento, CA
95820",(916) 455-9201,1st & 3rd Fri,"11:00AM -
12:00PM",95820,South Sacramento,Food distribution
Wonderful Unlimited Production,"4620 Stockton Blvd, Sacramento, CA
95820",N/A,Every Sat,"10:00AM -
1:00PM",95820,South Sacramento,Food distribution
"Zion Temple
Church of Christ","4640 Del Norte Blvd, Sacramento, CA
95820",N/A,"Every other
Tues","12:00PM -
2:00PM",95820,Fruitridge Heights,Food distribution
"El Camino Baptist
Church","2805 El Camino Ave, Sacramento, CA
95821",(916) 488-1522,Every Fri except 5th,"12:30PM -
2:30PM",95821,Arden-Arcade,USDA commodities
"Northminster
Presbyterian","3235 Pope Ave
Sactramento, CA
95821",(916) 487-5192,2nd Wed,"10:00AM -
12:00PM",95821,Arden Arcade,USDA commodities
Peace Assembly- Redeemed Christian,"2251 Florin  Rd #102, Sacramento, CA
95821",N/A,2nd Sun,"1:00 PM - 3:00
PM",95821,Del Paso Heights,Food distribution
S.V.D.P. Presentation,"4123 Robertson Ave, Sacramento, CA
95821",(916) 481-7441,"Tues, Fri & Sat","10:00AM -
10:30AM",95821,Arden-Arcade,"Congregate meal &
food distribution"
S.V.D.P. St. Philomene Church,"2428 Bell Street
Sacramento, CA
95821",(916) 481-6757,"Mon, Tues, Thur, Fri","9:00AM -
12:00PM (Tues also 6:00PM -
7:00PM)",95821,El Camino,Food distribution
"Town & Country
Lutheran Church","4049 Marconi Ave, Sacramento, CA
95821",(916) 481-2542,4th Sat,"4:00PM -
6:30PM",95821,Arden Arcade,"Food distribution &
congregate meal"
Woodside SDA Church,"3300 Eastern Ave., Sacramento, CA
95821",(916) 482-6444,"1st & 3rd
Wednesday","9:00AM -
12:00PM",95821,Arden Arcade,Food distribution
"Moments of
Blessing","7480 24th St, Sacramento, CA
95822",(916) 421-5303,Every Thurs,"9:30AM -
10:30AM",95822,Meadowview,"Snack program, Food
Distribution"
"Starting with a
Penny","2251 Florin Road #12
Sacrmento CA 95822",N/A,"Every Tues, Thur","10:00AM -
12:00PM",95822,South Sacramento,Food Distribution
South Sacramento Interfaith Partnership,"5625 24th Street
Sacramento, CA 958
22",(916) 428-5290,Mon - Fri,"9:00AM -
11:30AM",95822,South Sacramento,USDA commodities
"Centro Cristiano
De Adoracion","6555 44th Street
Sacramento, CA
95823",N/A,Every Tues,"7:00PM -
9:00PM",95823,South Sacramento,Food distribution
D & J Outreach,"6841 Cunningham Way, Sacramento, CA 95823",N/A,2nd & 4th Sat,9:00AM,95823,South Sacramento,Food distribution
"Daughters of Zion
Enterpryz","6489 47th St, Sacramento, CA
95823",(916) 422-3875,Every Thur,"1:00PM -
3:00PM",95823,South Sacramento,Food distribution
"Ebenezer
Christian Church","6428 MLK Jr Blvd, Sacramento, CA
95823",(916) 424-2562,4th Fri,"9:00AM -
10:00AM",95823,South Sacramento,USDA commodities
Genesis Missionary Baptist Church,"2801 Meadowview
Rd, Sacramento, CA
95823",(916) 422-8772,"1st , 3rd, 5th
Mon","9:00AM -
10:30AM",95823,Meadowview,Food distribution
"God's Next Level
Ministry","7298 Franklin Blvd Ste I, Sacramento, CA 95823",(916) 427-2333,"Tues, Wed, Sun & 2X a month on Thur
& Sat","Tues 10AM -
11AM/Wed
8:30PM/Sun
12PM/Thur
11AM/Sat
10AM",95823,South Sacramento,Food distribution
"Greater Grace
Family Support","5550 Sky Parkway, Sacramento, CA
95823",N/A,2nd & 4th Thur,"10:00AM -
12:00PM",95823,South Sacramento,Food distribution
"Hosana Somoan
Church","3601 52nd Ave, Sacramento, CA
95823",N/A,1st Mon,8:15AM,95823,Southgate,Food distribution
Lord's Gym Inc.,"25 Massie Ct., Sacramento, CA
95823",916-689-1158,Every Sun,"12:30PM -
2:00PM",95823,South Sacramento,Food distribution
"My Father's
House","6428 Martin Luther King Blvd, Sacramento, CA
95823",N/A,Every Mon,"9:00AM -
7:00PM",95823,Southgate,Food distribution
S.V.D.P. St. Charles Borromeo,"7584 Center Pkwy, Sacramento, CA
95823",(916) 421-6189,Every Mon,"8:45AM -
10:30AM",95823,South Sacramento,Food distribution
Southgate SDA Church,"2299 Meadowview
Rd, Sacramento, CA
95823",(916) 428-3027,Every Wed,"9:30AM -
11:00AM,
8:00PM -
8:30PM",95823,South Sacramento,Food distribution
"Southpointe
Christian Center","7520 Stockton Blvd, Sacramento, CA
95823",(916) 504-3370,Last two Mon of month,"7:30AM -
10:00AM",95823,South Sacramento,Food distribution
"Valley Hi
Covenant Church","8355 Arroyo Vista Dr, Sacramento, CA
95823",(916) 689-3010,Sat,"9:30AM - 11:00
AM",95823,South Sacramento,Food distribution
Vietnam Veterants of California,"7270 E. Southgate, Sacramento, CA
95823",(916) 393-8387,Daily,"6:00AM -
7:00AM,
11:30AM-
12:00PM,
5:00PM -
5:30PM",95823,South Sacramento,USDA commodities
Visions Unlimited,"6833 Stockton Blvd
#485, Sacramento, CA 95823",(916) 394-0800,2nd Thur & Fri,10:00AM,95823,South Sacramento,USDA commodities
"Lutheran Social
Services","4390 47th Ave, Sacramento, CA
95824",(916) 393-1627,Every Fri,"9:00AM -
12:00PM (Tues also 6-7PM)",95824,South Sacramento,Food distribution
Arden Church of the Nazarene,"3337 Arden Way, Sacramento, CA
95825",(916) 482-6064,Every Fri,"11:30AM -
1:30PM",95825,Arden-Arcade,USDA commodities
Powerhouse Christian Ministries,"2515 Cottage Way
Sacramento, CA
95825",(916) 482-6774,"Tues, Wed, Thur, Sun","Tue 10AM -
11AM, Wed
7:45PM -
8:15PM, Thur
11:00AM -
12:00PM, Sun
1:00PM -
1:30PM",95825,Arden Arcade,Food distribution
"Elevation of the
Holy Cross","9000 Jackson Rd, Sacramento, CA
95826",(916) 364-8068,Every Tues,"10:00AM -
11:00AM",95826,Rosemont,Food distribution
Sacramento Samoa New Covenant Church,"8460 Belvedere Ave., Sacramento, CA
95826",N/A,Daily,"M/Tu/Th 5PM -
6PM, W/F
10AM - 11AM, Sat 12PM -
1PM, Sun
11AM - 12PM",95826,Rosemont,Food distribution
"Oasis Christian
Ministry","10255 Old Placerville Rd Ste 1, Sacramento, CA
95827",(916) 364-0168,Every Sun,"1:30PM -
3:30PM",95827,Rancho Cordova,Food distribution
"Slavic Missionary
Church","9800 Jackson Rd, Sacramento, CA
95827",(916) 369-5505,Every Tues,"4:00PM -
5:00PM",95827,Rosemont,Food distribution
Focus on the Family Foundation,"4400 Shining Star
Dr., Sacramento, CA
95823",N/A,3rd Friday,"10:00AM -
12Noon",95823,South Sacramento,USDA commodities
"All Nations SDA
of Elk Grove","8280 Elk Grove Florin
Rd, Sacramento, CA
95829",N/A,"2nd & 3rd
Wed","10:00AM -
2:00PM",95829,Elk Grove,Food distribution
S.V.D.P. St. Paul's,"8720 Florin Road
Sacramento, CA
95829",(916) 381-5200,1st Thur,"8:00AM -
10:00AM",95829,South Sacramento,USDA commodities
Antioch Progressive Church,"7650 Amherst St, Sacramento, CA
95832",(916) 665-2600,Every Tues,"11:00AM -
12:30PM",95832,Meadowview,USDA commodities
Progressive Church of God in Christ,"2251 Meadowview
Rd, Sacramento, CA
95832",(916) 391-8297,Every Tues,"10:30AM -
12:00PM",95832,Meadowview,Food distribution
S.V.D.P. St. Anne's,"7724 24th Street, Sacramento, CA
95832",(916) 422-8380,3rd Thur,"8:00AM -
10:00AM",95832,Meadowview,USDA commodities
Sacramento Bread of Life Ministries,"1821 Meadowview Road Sacramento, CA 95832",N/A,Every Thurs,"2:00PM -
4:30PM",95832,Meadowview,Food distribution
"Heart for the
Hungry","1931 Arena Blvd. Sacramento, CA
95834",N/A,"3rd Sat, every other month","9:00AM -
11:00AM",95834,Natomas,Food distribution
"Joey's Food
Locker","3301 Fong Ranch
Rd., Sacramento, CA
95834",N/A,3rd Friday,"4:00PM - 5:30
PM",95834,Natomas,Food distribution
"Back to the Bible
Church","3251 Norwood, Sacramento, CA
95838",(916) 925-6730,Every Mon,10:00AM,95838,North Sacramento,Food distribution
Christian Fellowship Ministry,"3410 Rio Linda Blvd, Sacramento, CA
95838",(916) 567-1264,Every Wed,4:00PM,95838,Del Paso Heights,Food distribution
"Higher Heights
Apostolic Church","3600 Rio Linda Blvd., Sacramento CA
95838",(916) 922-4775,1st & 3rd Wed,"12:00PM -
3:00PM",95838,Del Paso Heights,Food distribution
New Bethel Apostolic Ministries,"3529 Branch St., Sacramento CA
95838",(916) 929-1903,2nd & 4th Fri,"10:30 AM -
11:30 AM",95838,Del Paso Heights,Snack program
"Our Lady of
Lourdes","1951 North Ave, Sacramento, CA
95838",(916) 925-5313,Every Tues,9:30AM,95838,North Sacramento,Food distribution
Potters House,"2994 Del Paso Blvd., Sacramento, CA
95838",N/A,Every Wed,"9:30AM -
11:00AM",95838,Del Paso Heights,Food distribution
Sunshine Academy Preschool,"3340 Marysville Blvd., Sacramento, CA
95838",(916) 564-5606,Daily,"12:00PM (Noon) -
4:00PM",95838,Del Paso Heights,Food distribution
Carmichael ACS (Adventist Community Services),"4600 Winding Way, Sacramento, CA
95841",(916) 487-8684,Every Wed,"9:00AM -
12:00PM",95841,Carmichael,USDA commodities
Hope Lutheran Church Food Closet,"6026 Verner Ave, Sacramento, CA
95841",N/A,Every Wed,"10:00AM -
6:00PM",95841,Arden-Arcade,Food distribution
"Purpose and
Legacy","5314 Walnut Ave., Sacramento, CA
95841",N/A,Wed & Thur,"W 12-3PM Th 6-
9PM",95841,Foothill Farms,Food distribution
Life Matters,"4141 Palm Ave, Sacramento, CA
95842",(916) 304-3564,Every Wed,"10:00AM -
2:00PM",95842,Foothill Farms,Food distribution
"Antelope
Christian Center","4533 Antelope Rd, Antelope, CA 95843",(916) 722-6108,Every Fri,"1:00PM -
2:30PM",95843,Antelope,Food distribution
"Victory Life Bible
Church","5697 Hillsdale Blvd, Sacramento, CA
95843",(916) 331-8306,Mon,10:00AM,95843,Antelope,Food distribution
Youth Xplosion,"3415 Martin Luther King Jr Blvd, Sacramento, CA
95817",(916) 234-3270,"Every Sat, throughout week varies, Every Wed","2nd Sat 10:30 -
12:00PM",95817,Oak Park,Food distribution
Sierra Arden Neighborhood Food Closet,"890 Morse Ave, Sacramento, CA
95864",(916) 483-1942,Tues - Fri,"10:00AM -
11:45AM",95864,Arden-Arcade,Food distribution
Note- This information is updated periodically. Sacramento Food Bank & Family Services relies on partner agencies to,,,,,,,
help provide us with current information. Please call ahead if possible to verify details and eligibility.,,,,,,,
